+-------------------+------+-------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|dateTime           |profit|macdHistogram|close                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |macdHistogramArray                                                                                                                                                                                                                                                                                                                   |
|2016-01-05 14:15:00|-83   |10           |[1.07542, 1.07527, 1.07508, 1.07512, 1.07514, 1.07474, 1.07488, 1.0751, 1.07392]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |[7, 10, 11, 12, 12, 9, 8, 8, 1]                                                                                                                                                                                                                                                                                                      |
|2016-01-05 15:00:00|-56   |-7           |[1.07359, 1.07401, 1.07392, 1.07315, 1.07279, 1.07255, 1.07207, 1.07168, 1.0715, 1.07146, 1.0719, 1.07218, 1.07256, 1.07239]                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |[-6, -7, -7, -12, -16, -19, -23, -26, -27, -26, -21, -14, -6, -1]                                                                                                                                                                                                                                                                    |
|2016-01-05 16:10:00|67    |15           |[1.07278, 1.07361, 1.07275, 1.07252, 1.07261, 1.07307, 1.07438, 1.07417, 1.07388, 1.07422, 1.07406, 1.07363, 1.07354, 1.07364, 1.07363, 1.07352, 1.07386, 1.07416, 1.07444, 1.07379, 1.07424, 1.07456, 1.07451, 1.0744, 1.07428, 1.07444, 1.07464, 1.07438, 1.07409]                                                                                                                                                                                                                                                                                                                                 |[5, 15, 15, 14, 14, 16, 26, 29, 29, 29, 27, 22, 17, 14, 11, 8, 8, 10, 12, 8, 8, 10, 10, 9, 7, 6, 6, 4, 0]                                                                                                                                                                                                                            |
|2016-01-05 18:35:00|64    |-6           |[1.07422, 1.07363, 1.07374, 1.07342, 1.0734, 1.0736, 1.0737, 1.07404, 1.07399, 1.07392, 1.07372, 1.07412]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |[-1, -6, -8, -12, -13, -12, -11, -7, -5, -3, -4, -1]                                                                                                                                                                                                                                                                                 |
|2016-01-06 01:15:00|216   |18           |[1.07479, 1.0771, 1.07676, 1.07616, 1.07566, 1.07586, 1.07648, 1.07598, 1.07615, 1.07618, 1.07678, 1.07648, 1.07626, 1.07634, 1.07641, 1.07642, 1.07668, 1.07675, 1.07654, 1.07661]                                                                                                                                                                                                                                                                                                                                                                                                                  |[0, 18, 26, 26, 22, 19, 21, 17, 15, 13, 14, 12, 9, 6, 5, 3, 3, 3, 2, 0]                                                                                                                                                                                                                                                              |
|2016-01-06 07:00:00|60    |-11          |[1.07355, 1.07335, 1.07318, 1.07354, 1.0734, 1.07344, 1.0728, 1.07254, 1.07284, 1.072, 1.07238, 1.07295, 1.07323]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |[-6, -11, -15, -14, -14, -12, -15, -17, -15, -18, -16, -10, -4]                                                                                                                                                                                                                                                                      |
|2016-01-06 12:50:00|75    |-11          |[1.07484, 1.07431, 1.07482, 1.07496, 1.07421, 1.0743, 1.07456, 1.07432, 1.07479, 1.07504, 1.07437, 1.07477, 1.07492, 1.07393, 1.07432, 1.0747, 1.07476, 1.07492, 1.07422, 1.07396, 1.07422, 1.07434, 1.07452]                                                                                                                                                                                                                                                                                                                                                                                        |[-4, -11, -12, -12, -16, -17, -16, -16, -12, -8, -9, -7, -5, -9, -9, -7, -4, -1, -4, -7, -7, -6, -4]                                                                                                                                                                                                                                 |
|2016-01-06 14:45:00|-81   |6            |[1.07508, 1.07526, 1.07556, 1.07442, 1.07412]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |[1, 6, 10, 5, 0]                                                                                                                                                                                                                                                                                                                     |
|2016-01-06 15:30:00|-159  |15           |[1.07596, 1.07619, 1.0763, 1.07621, 1.07606, 1.07452, 1.07491]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |[8, 15, 19, 19, 18, 6, 0]                                                                                                                                                                                                                                                                                                            |
|2016-01-06 16:05:00|-65   |-8           |[1.07462, 1.0747, 1.07482, 1.07512, 1.0753]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |[-5, -8, -9, -7, -5]                                                                                                                                                                                                                                                                                                                 |
|2016-01-06 19:00:00|136   |24           |[1.07761, 1.07912, 1.07932, 1.07779, 1.07718, 1.07734, 1.07768, 1.07768, 1.07878, 1.07944, 1.07872, 1.07887, 1.07928, 1.07926, 1.07892, 1.07879]                                                                                                                                                                                                                                                                                                                                                                                                                                                     |[7, 24, 35, 30, 21, 15, 12, 10, 14, 20, 17, 15, 15, 13, 9, 4]                                                                                                                                                                                                                                                                        |
|2016-01-07 01:15:00|82    |12           |[1.07868, 1.07926, 1.07966, 1.07952, 1.08028, 1.08077, 1.07992, 1.08102, 1.08026, 1.08029, 1.08046, 1.0806, 1.08062, 1.08032, 1.08017, 1.08051, 1.08129, 1.0815, 1.08148, 1.08148, 1.08151, 1.08156, 1.08177, 1.08192, 1.08236, 1.08206, 1.08188]                                                                                                                                                                                                                                                                                                                                                    |[4, 12, 19, 21, 26, 31, 27, 29, 24, 20, 16, 14, 11, 6, 2, 0, 3, 6, 7, 6, 5, 4, 4, 4, 6, 4, 1]                                                                                                                                                                                                                                        |
|2016-01-07 08:45:00|71    |21           |[1.07883, 1.07969, 1.08074, 1.08176, 1.08312, 1.08367, 1.08506, 1.08476, 1.08656, 1.0855, 1.08512, 1.08536, 1.08602, 1.0852, 1.08461, 1.08408, 1.08394]                                                                                                                                                                                                                                                                                                                                                                                                                                              |[9, 21, 35, 49, 65, 75, 87, 88, 95, 88, 76, 65, 58, 45, 29, 13, 0]                                                                                                                                                                                                                                                                   |
|2016-01-07 10:10:00|-83   |-12          |[1.08386, 1.08455, 1.08466, 1.08542, 1.08525, 1.08495, 1.08452, 1.08474, 1.08386, 1.08374, 1.08469, 1.08498, 1.08502, 1.08506, 1.08548, 1.08618]                                                                                                                                                                                                                                                                                                                                                                                                                                                     |[-9, -12, -13, -9, -9, -11, -15, -17, -24, -28, -25, -20, -16, -14, -9, -2]                                                                                                                                                                                                                                                          |
|2016-01-07 11:30:00|-64   |8            |[1.08686, 1.08658, 1.08636, 1.08706, 1.0868, 1.08668]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |[6, 8, 7, 10, 9, 6]                                                                                                                                                                                                                                                                                                                  |
|2016-01-07 12:00:00|102   |-11          |[1.08582, 1.08534, 1.08568, 1.08526, 1.08575, 1.08568, 1.08565, 1.08524, 1.08464, 1.0855, 1.0855, 1.08584, 1.08678]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |[-2, -11, -14, -19, -19, -19, -18, -20, -25, -21, -18, -13, -4]                                                                                                                                                                                                                                                                      |
|2016-01-07 13:40:00|108   |-6           |[1.08626, 1.08605, 1.08577, 1.08586, 1.08598, 1.08629, 1.08582, 1.08502, 1.08528, 1.08562, 1.08602, 1.0849, 1.08428, 1.08462, 1.0842, 1.08443, 1.08578]                                                                                                                                                                                                                                                                                                                                                                                                                                              |[-3, -6, -10, -12, -12, -9, -10, -16, -17, -15, -10, -14, -20, -20, -22, -20, -9]                                                                                                                                                                                                                                                    |
|2016-01-07 15:05:00|-67   |14           |[1.08689, 1.08685, 1.08636, 1.08634, 1.08625, 1.08544, 1.08523]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |[5, 14, 16, 16, 15, 8, 2]                                                                                                                                                                                                                                                                                                            |
|2016-01-07 16:25:00|-65   |7            |[1.08536, 1.08544, 1.08538, 1.08486, 1.0855, 1.08576, 1.08598, 1.0863, 1.08662, 1.08687, 1.08696, 1.08687, 1.08696, 1.08629, 1.08661, 1.08644, 1.08652, 1.08698, 1.08625, 1.08688, 1.08708, 1.08739, 1.08736, 1.08854, 1.08872, 1.0886, 1.08996, 1.0909, 1.0902, 1.08956, 1.09014, 1.09026, 1.09028, 1.08994, 1.0894]                                                                                                                                                                                                                                                                                |[2, 7, 9, 7, 10, 13, 16, 19, 22, 24, 25, 23, 22, 15, 12, 8, 5, 6, 1, 2, 3, 5, 6, 13, 18, 19, 26, 35, 34, 27, 24, 21, 17, 10, 2]                                                                                                                                                                                                      |
|2016-01-07 20:35:00|-53   |-6           |[1.09282, 1.09294, 1.09278, 1.0932, 1.09346, 1.09393, 1.09314, 1.09366, 1.09374, 1.09361, 1.09364, 1.09345, 1.09328, 1.09314, 1.09303, 1.09287, 1.09308, 1.09312, 1.09304, 1.09326, 1.09286, 1.09258, 1.0923, 1.09224, 1.0922, 1.09221, 1.09216, 1.09212, 1.09218, 1.09231, 1.09224, 1.0922, 1.09227, 1.09226, 1.09229, 1.09261, 1.09237, 1.0922, 1.09208, 1.0923]                                                                                                                                                                                                                                   |[-1, -6, -11, -12, -12, -9, -13, -12, -12, -13, -13, -15, -17, -20, -22, -23, -23, -21, -21, -18, -19, -20, -23, -23, -23, -22, -21, -19, -17, -14, -12, -10, -8, -7, -5, -2, -1, -1, -2, -1]                                                                                                                                        |
|2016-01-08 06:30:00|92    |-6           |[1.08722, 1.08702, 1.08615, 1.08574, 1.0863, 1.08612, 1.08596, 1.08602, 1.08616, 1.08595, 1.08616, 1.08581, 1.0862, 1.0859]                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |[-2, -6, -14, -20, -19, -19, -18, -16, -13, -11, -8, -7, -3, -2]                                                                                                                                                                                                                                                                     |
|2016-01-08 07:40:00|54    |6            |[1.086, 1.0867, 1.08782, 1.08864, 1.08772, 1.0899, 1.08912, 1.08828, 1.08792, 1.08767, 1.08765, 1.08826, 1.08725, 1.08744]                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |[0, 6, 17, 29, 29, 42, 43, 36, 28, 19, 13, 12, 4, 0]                                                                                                                                                                                                                                                                                 |
|2016-01-08 08:50:00|-100  |-8           |[1.08708, 1.0872, 1.08731, 1.08794]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |[-5, -8, -8, -4]                                                                                                                                                                                                                                                                                                                     |
